"カテゴリ","品目","品目（かな）"
"野菜","ながいも","ながいも"
"野菜","なす","なす"
"野菜","菜花","なばな"
"野菜","なめこ","なめこ"
"野菜","にら","にら"
"野菜","人参","にんじん"
"野菜","にんにく","にんにく"
"野菜","ねぎ","ねぎ"
"野菜","白菜","はくさい"
"野菜","パクチー","ぱくちー"
"野菜","パセリ","ぱせり"
"野菜","ひらたけ","ひらたけ"
"野菜","ビーツ","びーつ"
"野菜","ピーマン","ぴーまん"
"野菜","ふき","ふき"
"野菜","ブロッコリー","ぶろっこりー"
"野菜","ほうれん草","ほうれんそう"
"野菜","まいたけ","まいたけ"
"野菜","マッシュルーム","まっしゅるーむ"
"野菜","松茸","まつたけ"
"野菜","みずな","みずな"
"野菜","みつば","みつば"
"野菜","みょうが","みょうが"
"野菜","もやし","もやし"
"野菜","モロヘイヤ","もろへいや"
"野菜","やまいも","やまいも"
"野菜","ヤーコン","やーこん"
"野菜","らっきょう","らっきょう"
"野菜","リーフレタス","りーふれたす"
"野菜","ルッコラ","るっこら"
"野菜","ルバーブ","るばーぶ"
"野菜","レタス","れたす"
"野菜","レンコン","れんこん"
"野菜","その他","そのた"
"果物","アケビ","あけび"
"果物","アセロラ","あせろら"
"果物","アボカド","あぼかど"
"果物","アンズ","あんず"
"果物","イチゴ","いちご"
"果物","イチジク","いちじく"
"果物","梅","うめ"
"果物","オレンジ","おれんじ"
"果物","柿","かき"
"果物","カリン","かりん"
"果物","カンキツ類","かんきつるい"
"果物","キウイフルーツ","きういふるーつ"
"果物","クランベリー","くらんべりー"
"果物","グアバ","ぐあば"
"果物","グレープフルーツ","ぐれーぷふるーつ"
"果物","サクランボ","さくらんぼ"
"果物","ザクロ","ざくろ"
"果物","スイカ","すいか"
"果物","スモモ","すもも"
"果物","西洋ナシ","せいようなし"
"果物","日本ナシ","にほんなし"
"果物","ネクタリン","ねくたりん"
"果物","バナナ","ばなな"
"果物","パイナップル","ぱいなっぷる"
"果物","パッションフルーツ","ぱっしょんふるーつ"
"果物","パパイア","ぱぱいあ"
"果物","ビワ","びわ"
"果物","ブドウ","ぶどう"
"果物","ブルーベリー","ぶるーべりー"
"果物","プルーン","ぷるーん"
"果物","マンゴー","まんごー"
"果物","みかん","みかん"
"果物","メロン","めろん"
"果物","もも","もも"
"果物","ライチ","らいち"
"果物","リンゴ","りんご"
"果物","レモン","れもん"
"果物","その他","そのた"
"魚介類","アオサ","あおさ"
"魚介類","アカウオ","あかうお"
"魚介類","赤貝","あかがい"
"魚介類","アカモク","あかもく"
"魚介類","アサリ","あさり"
"魚介類","アジ","あじ"
"魚介類","アナゴ","あなご"
"魚介類","アユ","あゆ"
"魚介類","アンコウ","あんこう"
"魚介類","イカ","いか"
"魚介類","イクラ","いくら"
"魚介類","イワシ","いわし"
"魚介類","イワナ","いわな"
"魚介類","ウナギ","うなぎ"
"魚介類","ウニ","うに"
"魚介類","エビ","えび"
"魚介類","カジキ","かじき"
"魚介類","カツオ","かつお"
"魚介類","カマス","かます"
"魚介類","カレイ","かれい"
"魚介類","キス","きす"
"魚介類","キンメダイ","きんめだい"
"魚介類","コイ","こい"
"魚介類","コンブ","こんぶ"
"魚介類","サケ","さけ"
"魚介類","サザエ","さざえ"
"魚介類","サバ","さば"
"魚介類","サメ","さめ"
"魚介類","サワラ","さわら"
"魚介類","サンマ","さんま"
"魚介類","シジミ","しじみ"
"魚介類","ししゃも","ししゃも"
"魚介類","しらす","しらす"
"魚介類","スジコ","すじこ"
"魚介類","スズキ","すずき"
"魚介類","タイ","たい"
"魚介類","タコ","たこ"
"魚介類","タチウオ","たちうお"
"魚介類","タラ","たら"
"魚介類","たらこ","たらこ"
"魚介類","ちりめんじゃこ","ちりめんじゃこ"
"魚介類","ドジョウ","どじょう"
"魚介類","トビッコ","とびっこ"
"魚介類","ナマズ","なまず"
"魚介類","ニシン","にしん"
"魚介類","海苔","のり"
"魚介類","はまぐり","はまぐり"
"魚介類","ヒジキ","ひじき"
"魚介類","ヒラメ","ひらめ"
"魚介類","フカヒレ","ふかひれ"
"魚介類","フグ","ふぐ"
"魚介類","ブリ","ぶり"
"魚介類","ホタテ","ほたて"
"魚介類","ホッケ","ほっけ"
"魚介類","ホヤ","ほや"
"魚介類","マグロ","まぐろ"
"魚介類","マス","ます"
"魚介類","ムール貝","むーるがい"
"魚介類","めかぶ","めかぶ"
"魚介類","もずく","もずく"
"魚介類","ワカサギ","わかさぎ"
"魚介類","わかめ","わかめ"
"魚介類","その他・魚類","そのた"
"魚介類","その他・魚卵","そのた"
"魚介類","その他・貝類","そのた"
"魚介類","その他・藻類","そのた"
"水産加工品","かつおぶし","かつおぶし"
"水産加工品","かまぼこ","かまぼこ"
"水産加工品","さつま揚げ","さつまあげ"
"水産加工品","ちくわ","ちくわ"
"水産加工品","ツナ","つな"
"水産加工品","にぼし","にぼし"
"水産加工品","はんぺん","はんぺん"
"水産加工品","その他","そのた"
"肉類","タン（牛）","たん"
"肉類","ヒレ（牛）","ひれ"
"肉類","モモ（牛）","もも"
"肉類","レバー（牛）","ればー"
"肉類","ロース（牛）","ろーす"
"肉類","その他部位（牛）","そのたぶい"
"肉類","バラ（豚）","ばら"
"肉類","ハム（豚）","はむ"
"肉類","ひき肉（豚）","ひきにく"
"肉類","ヒレ（豚）","ひれ"
"肉類","モモ（豚）","もも"
"肉類","レバー（豚）","ればー"
"肉類","ロース（豚）","ろーす"
"肉類","その他部位（豚）","そのたぶい"
"肉類","ササミ（鶏）","ささみ"
"肉類","手羽（鶏）","てば"
"肉類","トリカワ（鶏）","とりかわ"
"肉類","ナンコツ（鶏）","なんこつ"
"肉類","ムネ（鶏）","むね"
"肉類","モモ（鶏）","もも"
"肉類","その他部位（鶏）","そのたぶい"
"肉類","たまご（鶏）","たまご"
"肉類","イノシシ","いのしし"
"肉類","ウマ","うま"
"肉類","カモ","かも"
"肉類","シカ","しか"
"肉類","ヒツジ","ひつじ"
"肉類","ウインナー","ういんなー"
"肉類","ソーセージ","そーせーじ"
"肉類","焼き豚","やきぶた"
"肉類","その他・肉類","そのた"
"肉類","その他・卵類","そのた"
"肉類","その他・肉加工品","そのた"
"乳製品","牛乳","ぎゅうにゅう"
"乳製品","クリーム","くりーむ"
"乳製品","チーズ","ちーず"
"乳製品","バター","ばたー"
"乳製品","ヨーグルト","よーぐると"
"乳製品","練乳","れんにゅう"
"乳製品","その他・乳飲料","そのた"
"乳製品","その他・乳加工品","そのた"
"穀類・麺類","うどん","うどん"
"穀類・麺類","玄米","げんまい"
"穀類・麺類","そうめん","そうめん"
"穀類・麺類","そば","そば"
"穀類・麺類","白米","はくまい"
"穀類・麺類","パン","ぱん"
"穀類・麺類","その他・穀類","そのた"
"穀類・麺類","その他・麺類","そのた"
"豆類","あずき","あずき"
"豆類","油揚げ","あぶらあげ"
"豆類","おから","おから"
"豆類","きなこ","きなこ"
"豆類","黒豆","くろまめ"
"豆類","大豆","だいず"
"豆類","豆乳","とうにゅう"
"豆類","豆腐","とうふ"
"豆類","納豆","なっとう"
"豆類","湯葉","ゆば"
"豆類","その他","そのた"
"種実類","アーモンド","あーもんど"
"種実類","カカオ","かかお"
"種実類","カシューナッツ","かしゅーなっつ"
"種実類","銀杏","ぎんなん"
"種実類","栗","くり"
"種実類","くるみ","くるみ"
"種実類","ごま","ごま"
"種実類","ピスタチオ","ぴすたちお"
"種実類","落花生","らっかせい"
"種実類","その他","そのた"
"油脂・糖類","オリーブオイル","おりーぶおいる"
"油脂・糖類","ごま油","ごまあぶら"
"油脂・糖類","黒砂糖","くろさとう"
"油脂・糖類","白砂糖","しろさとう"
"油脂・糖類","はちみつ","はちみつ"
"油脂・糖類","メープルシロップ","めーぷるしろっぷ"
"油脂・糖類","その他・油脂類","そのた・ゆしるい"
"油脂・糖類","その他・糖類","そのた・とうるい"
"調味料・香辛料","ケチャップ","けちゃっぷ"
"調味料・香辛料","酒粕","さけかす"
"調味料・香辛料","山椒","さんしょう"
"調味料・香辛料","塩麹","しおこうじ"
"調味料・香辛料","シナモン","しなもん"
"調味料・香辛料","スパイス","すぱいす"
"調味料・香辛料","醤油","しょうゆ"
"調味料・香辛料","酢","す"
"調味料・香辛料","マヨネーズ","まよねーず"
"調味料・香辛料","味噌","みそ"
"調味料・香辛料","みりん","みりん"
"調味料・香辛料","わさび","わさび"
"調味料・香辛料","その他・調味料","そのた"
"調味料・香辛料","その他・香辛料","そのた"
"嗜好飲料類","紅茶","こうちゃ"
"嗜好飲料類","コーヒー","こーひー"
"嗜好飲料類","果物ジュース","くだものじゅーす"
"嗜好飲料類","野菜ジュース","やさいじゅーす"
"嗜好飲料類","麦茶","むぎちゃ"
"嗜好飲料類","緑茶","りょくちゃ"
"嗜好飲料類","その他","そのた"
"菓子類","生菓子（和）","なまがし"
"菓子類","半生菓子（和）","はんなまがし"
"菓子類","干菓子（和）","ひしがし"
"菓子類","生菓子（洋）","なまがし"
"菓子類","半生菓子（洋）","はんなまがし"
"菓子類","干菓子（洋）","ひがし"
"菓子類","その他","そのた"
