Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / 日本,Price / 日本,Compare At Price / 日本,Included / 国際,Price / 国際,Compare At Price / 国際,Status
大崎上島の隠れた名産品-無添加-非加熱-百花蜂蜜-300g,【大崎上島の隠れた名産品！】　無添加/非加熱　百花蜂蜜【250g】,,瀬戸内大崎上島農園,食品・飲料 > 食品,食品,"加工品, 無添加はちみつ",TRUE,サイズ,1瓶,,,,,,0,shopify,deny,manual,1700,1650,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-9289_1_f5768c2e-9c1b-4125-955a-bd2513c5a0a1.jpg?v=1680106556,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
大崎上島の隠れた名産品-無添加-非加熱-百花蜂蜜-300g-1,【大崎上島の隠れた名産品！】　無添加/非加熱　百花蜂蜜【600g】,,瀬戸内大崎上島農園,食品・飲料 > 食品,食品,"加工品, 加工食品, 無添加はちみつ",TRUE,サイズ,1瓶,,,,,,0,shopify,deny,manual,3500,1650,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-7003_88a8ddec-9fff-4012-8e79-4b4ea6e98768.png?v=1680106707,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
kamijima-amanatsu-5,【大崎上島産「甘夏」　5キロ】〜こだわり農家のこれ食べんさい！〜,,瀬戸内大崎上島農園,,,"季節の食材, 新着商品, 農産物",FALSE,Title,Default Title,,,,,,5000,shopify,deny,manual,3000,3500,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-7123_1.jpg?v=1680107086,1,大崎上島産「甘夏」,FALSE,,,,,,,,,,,,,,,kg,,2000,TRUE,,,TRUE,,,draft
大崎上島産-極早生みかん-食べて応援-のコピー,【大崎上島産】　温州みかん　〜食べて応援地方の食材〜,,瀬戸内大崎上島農園,食品・飲料 > 食品 > 野菜・果物 > 果物・冷凍フルーツ > 柑橘類,農産物,"おすすめ商品, 季節の柑橘, 新着商品, 農産物",FALSE,内容量,２キロ,,,,,,0,shopify,deny,manual,1400,1800,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/image_84c2b364-3ac3-4a68-bb03-36cc73b4f938.heic?v=1671373072,1,【大崎上島産】　温州みかん　,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
大崎上島の隠れた名産品生はちみつ-無添加-非加熱-谷口さんの純粋蜂蜜-120g-のコピー,【季節・数量限定品！！】無添加/非加熱「谷口さんの純粋蜂蜜3本ギフトセット」【120g×3本】,,瀬戸内大崎上島農園,食品・飲料 > 食品,食品,"ギフト・贈りもの, 加工品, 加工食品, 無添加はちみつ, 贈答品",TRUE,セット内容,Aセット（初夏の蜜・みかん蜜・夏の蜜）,,,,,,0,shopify,deny,manual,3200,1650,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-2570_Square.jpg?v=1680107394,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
専用商品,【専用商品】,,瀬戸内大崎上島農園,食品・飲料 > 食品,食品,"加工品, 加工食品",FALSE,専用,専用,,,,,,0,shopify,deny,manual,4200,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/0BFF103E-1FA1-4B52-8BE9-35C8F0B83B3A_d3065093-b9b6-46d0-b548-96849883f5b8.jpg?v=1676592944,1,百花蜂蜜【250g】,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
大崎上島産-極早生みかん-シーズン開始,【島の誇り】大崎上島産　極早生みかん　〜シーズン開始！！〜,,瀬戸内大崎上島農園,,,"おすすめ商品, 季節の柑橘, 新着商品, 農産物",FALSE,内容量,２キロ,,,,,,0,shopify,deny,manual,1400,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-9399.jpg?v=1671373426,1,大崎上島産　極早生みかん,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
希少な紅い島のみかん-田中さんのプリンス清見,【希少な島の真っ赤なみかん】田中さんの「プリンス清見」,,瀬戸内大崎上島農園,,,"おすすめ商品, 季節の柑橘, 農産物",FALSE,サイズ,2キロ,,,,,,0,shopify,deny,manual,1600,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-0496.jpg?v=1674577423,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
数々の賞を受賞-本場ブラジル人ーオーナーの手がける絶品の-ミナスチーズ-のコピー,【数々の賞を受賞】本場ブラジル人オーナーの手がける絶品の「ミナスチーズ」<フレッシュミナスチーズ240g×2個、熟成チーズ220g×2個>,,ビルミルク,食品・飲料,食品,"おすすめ商品, その他, 加工品, 新着商品",TRUE,スタイル,フレッシュミナスチーズ×2個、熟成チーズ×2個,,,,,3月3日,0,,deny,manual,6250,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/IMG_0895_dab0491e-4097-40d2-9981-8c0a955e470b.jpg?v=1692854009,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/IMG_0894_a2c35570-a110-4cbc-9d36-014f1ab4a388.jpg?v=1692854809,kg,,,TRUE,,,TRUE,,,active
数々の賞を受賞-本場ブラジル人ーオーナーの手がける絶品の-ミナスチーズ-のコピー-1,【数々の賞を受賞】本場ブラジル人オーナーの手がける絶品の「ミナスチーズ」<フレッシュミナスチーズ240g、熟成チーズ、クリームチーズ180g>,,ビルミルク,食品・飲料 > 食品,食品,"おすすめ商品, チーズ, 加工品, 新着商品, 新着商品表示",TRUE,スタイル,フレッシュミナスチーズ240g、熟成チーズ、クリームチーズ180g,,,,,3月2日,0,,deny,manual,5400,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/IMG_0899_f236ab1d-7301-4050-8910-c57006e9e5b4.jpg?v=1692854576,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
数々の賞を受賞-本場ブラジル人ーオーナーの手がける絶品の-ミナスチーズ,【数々の賞を受賞】本場ブラジル人ーオーナーの手がける絶品の「ミナスチーズ」<フレッシュミナスチーズ240g×3個>,,ビルミルク,,食品,"おすすめ商品, その他, チーズ, 加工品, 新着商品",TRUE,スタイル,フレッシュミナスチーズ240g×3個,,,,,3月1日,0,,deny,manual,5200,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/IMG_0895.jpg?v=1693014152,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/IMG_0895.jpg?v=1693014152,kg,,,TRUE,,,TRUE,,,active
数量限定-新鮮な果実でつくる無添加ジャム-大崎上島産ブルーベリー,【数量限定！】新鮮な果実でつくる大崎上島産ブルーベリージャム,,一房の彩り,食品・飲料,食品,"加工品, 加工食品",TRUE,数量,3個,,,,,個-2,0,,deny,manual,1750,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/20230824_141811.jpg?v=1693405589,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
新鮮な果実で作る無添加ジャム-大崎上島産オレンジジャム,【新鮮な果実で作る無添加ジャム】大崎上島産オレンジジャム,,瀬戸内大崎上島農園,,,新着商品,FALSE,本数,1本,,,,,,0,shopify,deny,manual,600,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/image_df255074-714b-408f-b060-835e76335608.heic?v=1680107995,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
野菜セット,【有機農家が厳選】秋野菜セット７種　千葉県山武市産,,三つ豆ファーム,食品・飲料 > 食品 > 野菜・果物 > 野菜・冷凍野菜,農産物,"おすすめ商品, 季節の食材, 新着商品, 新着商品表示, 農産物",TRUE,Title,Default Title,,,,,'1,0,,deny,manual,3980,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/2023-10-01151719.jpg?v=1696143047,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
島の誇り_大崎上島産_極早生みかん_sos,【柑橘の島】大崎上島産 極早生みかん　シーズン到来！！,,瀬戸内大崎上島農園,,,"おすすめ商品, 季節の柑橘, 季節の食材, 新着商品, 新着商品表示, 旬の果物, 農産物",TRUE,内容量,２キロ,,,,,,0,shopify,deny,manual,2000,1800,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/47fcf562fb8976bee329c23dfc975978.png?v=1697198949,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
甘さの爆弾,【甘さの爆弾！】大崎上島産　田中さんの「不知火　5キロ」,,瀬戸内大崎上島農園,,,"おすすめ商品, 季節の柑橘, 新着商品, 農産物",FALSE,Title,Default Title,,,,,,5000,shopify,deny,manual,3500,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-0748.jpg?v=1680108296,1,大崎上島産　田中さんの「不知火」,FALSE,,,,,,,,,,,,,,,kg,,1500,TRUE,,,TRUE,,,draft
繊細かつ華やかな香りの名脇役-神山すだち-b玉-徳島県神山産,【繊細かつ華やかな香りの名脇役】神山すだち（ご家庭用B級品）　徳島県神山産,,NPO法人里山みらい,食品・飲料,農産物,"おすすめ商品, 季節の食材, 新着商品, 新着商品表示, 旬の果物, 農産物",TRUE,Title,Default Title,,,,,1,2000,,deny,manual,3480,4500,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/1EDAA0C4-D23D-40DC-AF75-AA26072BF9B7.jpg?v=1692600696,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
シャリシャリほろ苦がクセになる-大崎上島産-紅八朔のコピー,【見た目からは想像できない甘さに驚き！】大崎上島産　はるか,,瀬戸内大崎上島農園,,,"おすすめ商品, 季節の柑橘, 新着商品, 農産物",FALSE,サイズ,5キロ,,,,,,0,shopify,deny,manual,3000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG_6933.jpg?v=1680887775,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
訳あり-お買い得品-大崎上島産-b級甘夏-5キロ-こだわり農家のこれ食べんさい-のコピー,【訳あり！お買い得品】大崎上島産「B級甘夏」　5キロ〜こだわり農家のこれ食べんさい！〜のコピー,,瀬戸内大崎上島農園,,,"おすすめ商品, 農産物",FALSE,Title,Default Title,,,,,,5000,shopify,deny,manual,1600,2500,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/image_c03932c7-af02-441d-988c-9fc8c2f889a5.heic?v=1671373603,1,大崎上島産「B級甘夏」,FALSE,,,,,,,,,,,,,,,kg,,1200,TRUE,,,TRUE,,,draft
商品サンプル2,【防腐剤・ワックス不使用】大崎上島産イエローレモン,,瀬戸内大崎上島農園,,農産物,"おすすめ商品, 季節の柑橘, 農産物",FALSE,サイズ,5キロ,,,,,,2000,shopify,continue,manual,6000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/14615FED-B6BC-49B7-87D9-69CE2C631FEF.jpg?v=1680108407,1,大崎上島産イエローレモン,FALSE,,,,,,,,,,,,,,,kg,,1000,TRUE,,,TRUE,,,draft
離島の秘宝-ジャンボ青パパイヤ-1キロ-レモンのおまけつき,【離島の秘宝！】ジャンボ青パパイヤ　1キロ（レモンのおまけつき）,,瀬戸内大崎上島農園,ビジネス・産業 > 農業,農産物,"おすすめ商品, その他, 新着商品",FALSE,スタイル,3キロ,,,,,,0,shopify,deny,manual,3500,1800,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/7EADD242-2082-443F-8A3E-DA3865B69D6B.jpg?v=1671373672,1,ジャンボ青パパイヤ,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
非加熱-無添加-純大崎上島産ハチミツレモン,【非加熱！無添加！】純大崎上島産ハチミツレモン,,瀬戸内大崎上島農園,,,"おすすめ商品, 加工品, 無添加はちみつ",FALSE,サイズ,100g×1本,,,,,,0,shopify,deny,manual,700,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/image_17395ab0-1ebb-4c6f-85e0-37576342731b.heic?v=1680108996,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
大崎上島産-伊予柑,大崎上島産　伊予柑,,瀬戸内大崎上島農園,,,"季節の柑橘, 農産物",FALSE,サイズ,2kg,,,,,,2000,shopify,deny,manual,900,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/1676119060835_873fa79a-9d14-43c6-8f18-632245731e14.jpg?v=1680109185,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
大崎上島産-完熟紅八朔-贈答用,大崎上島産　完熟紅八朔　4キロ【贈答用】,,瀬戸内大崎上島農園,食品・飲料 > 食品 > 野菜・果物,農産物,"ギフト・贈りもの, 季節の柑橘, 新着商品, 農産物",FALSE,Title,Default Title,,,,,,0,shopify,deny,manual,2800,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/image_e6854736-ec7a-4681-a116-4572c34dd976.heic?v=1680109389,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
大崎上島産-ゴールデン文旦-大橘-３キロ,大崎上島産「ゴールデン文旦（大橘）」３キロ,,瀬戸内大崎上島農園,,,新着商品,FALSE,Title,Default Title,,,,,3キロ,3000,shopify,deny,manual,2100,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG_5257_5e796a03-f8fb-4cb0-ad91-e17c34fd4f41.jpg?v=1680109493,1,,FALSE,,,,,,,,,,,,,,,kg,,1200,TRUE,,,TRUE,,,draft
大崎上島産はるみ,大崎上島産はるみ【ちょっぴり贅沢な柑橘の王様】,,瀬戸内大崎上島農園,食品・飲料 > 食品 > 野菜・果物,農産物,"季節の柑橘, 農産物",FALSE,サイズ,5キロ,,,,,,0,shopify,deny,manual,3500,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/DSC03102-2.jpg?v=1676687633,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
小玉はるみ-ちょっぴり贅沢な柑橘の王様-シーズンラスト,小玉はるみ【ちょっぴり贅沢な柑橘の王様】（シーズンラスト）,,瀬戸内大崎上島農園,食品・飲料 > 食品 > 野菜・果物,農産物,"おすすめ商品, 季節の柑橘, 農産物",FALSE,サイズ,5キロ,,,,,,0,shopify,deny,manual,2500,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/DSC03076-2.jpg?v=1681536001,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
旬の朝採り-上山産すだち-ご家庭用,旬の朝採り！上山産すだち【ご家庭用】,,NPO法人里山みらい,食品・飲料 > 食品,農産物,"おすすめ商品, ギフト・贈りもの, 季節の柑橘, 新着商品, 贈答品, 農産物",FALSE,Title,Default Title,,,,,箱,1000,,deny,manual,3300,4500,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
石地みかん-贈答用-毎年人気の大崎上島自慢のみかん,石地みかん【贈答用】〜毎年人気の大崎上島自慢のみかん〜,,瀬戸内大崎上島農園,食品・飲料,農産物,季節の柑橘,FALSE,サイズ,2キロ,,,,,,0,,deny,manual,1800,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-6120.jpg?v=1671373913,1,石地みかん【贈答用】,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
石地みかん-贈答用-毎年人気の大崎上島自慢のみかん-のコピー,訳あり「はれひめ」【ご家庭用】,,瀬戸内大崎上島農園,食品・飲料,農産物,,FALSE,サイズ,5キロ,,,,,'10,0,,deny,manual,2000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/image_9170f43c-008f-496e-9ab6-74174de25b1a.jpg?v=1672976938,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
大崎上島の隠れた名産品生はちみつ-無添加-非加熱-谷口さんの純粋蜂蜜-120g-のコピー-1,限定クーポン対象品「谷口さんの純粋蜂蜜」【120g】大崎上島の隠れた名産品生はちみつ！無添加/非加熱,,瀬戸内大崎上島農園,食品・飲料 > 食品,食品,"おすすめ商品, 加工品",FALSE,サイズ,1瓶,,,,,,0,shopify,deny,manual,1650,1650,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/E9E7DFE5-CD0B-4B07-8D8E-98BB36B118E7_5b973b49-af9e-4fe5-b953-e52ce2105dbf.jpg?v=1671373946,1,クーポン対象品「谷口さんの純粋蜂蜜」,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
